Locus,mol_type,Len,sci_name,kew_id,family,genus,species,infraspecies,Duplicates,Ini_sci_name
NC_057458.1,genomic DNA,152992,Podalyria calyptrata,515357-1,Fabaceae,Podalyria,calyptrata,,False,Podalyria calyptrata
NC_057459.1,genomic DNA,157360,Kotschya aeschynomenoides,501269-1,Fabaceae,Kotschya,aeschynomenoides,,False,Kotschya aeschynomenoides
NC_057460.1,genomic DNA,123055,Parochetus communis,512256-1,Fabaceae,Parochetus,communis,,False,Parochetus cummunis
NC_059049.1,genomic DNA,160254,Eucalyptus bicolor,592729-1,Myrtaceae,Eucalyptus,bicolor,,False,Eucalyptus largiflorens
NC_059051.1,genomic DNA,160400,Eucalyptus odorata,593184-1,Myrtaceae,Eucalyptus,odorata,,False,Eucalyptus odorata
NC_059052.1,genomic DNA,160320,Eucalyptus populnea,593268-1,Myrtaceae,Eucalyptus,populnea,,False,Eucalyptus populnea
NC_059053.1,genomic DNA,160412,Eucalyptus porosa,593269-1,Myrtaceae,Eucalyptus,porosa,,False,Eucalyptus porosa
NC_059054.1,genomic DNA,160489,Eucalyptus  silvestris,977840-1,Myrtaceae,Eucalyptus,silvestris,,False,Eucalyptus silvestris
NC_059055.1,genomic DNA,160283,Eucalyptus viridis,593456-1,Myrtaceae,Eucalyptus,viridis,,False,Eucalyptus viridis
NC_059056.1,genomic DNA,160491,Eucalyptus wimmerensis,939796-1,Myrtaceae,Eucalyptus,wimmerensis,,False,Eucalyptus walshii
NC_059057.1,genomic DNA,160481,Eucalyptus wimmerensis,939796-1,Myrtaceae,Eucalyptus,wimmerensis,,False,Eucalyptus wimmerensis
NC_047197.1,genomic DNA,146681,Vanda falcata subsp. xichangensis,77299037-1,Orchidaceae,Vanda,falcata,xichangensis,False,Neofinetia xichangensis
NC_047200.1,genomic DNA,158484,Carya sinensis,442199-1,Juglandaceae,Carya,sinensis,,False,Annamocarya sinensis
NC_047201.1,genomic DNA,154562,Sauroglossum elatum,657153-1,Orchidaceae,Sauroglossum,elatum,,False,Sauroglossum elatum
NC_047202.1,genomic DNA,154044,Prescottia stachyodes,1074522-2,Orchidaceae,Prescottia,stachyodes,,False,Prescottia stachyodes
NC_047205.1,genomic DNA,154495,Cyclopogon longibracteatus,73705-2,Orchidaceae,Cyclopogon,longibracteatus,,False,Cyclopogon longibracteatus
NC_047208.1,genomic DNA,187810,Corydalis conspersa,672154-1,Papaveraceae,Corydalis,conspersa,,False,Corydalis conspersa
NC_048958.1,genomic DNA,159630,Magnolia gilbertoi,991417-1,Magnoliaceae,Magnolia,gilbertoi,,False,Magnolia gilbertoi
NC_048986.1,genomic DNA,129465,Viscum ovalifolium,161212-3,Santalaceae,Viscum,ovalifolium,,False,Viscum ovalifolium
NC_048998.1,genomic DNA,163743,Pellacalyx yunnanensis,719794-1,Rhizophoraceae,Pellacalyx,yunnanensis,,False,Pellacalyx yunnanensis
NC_049061.1,genomic DNA,160262,Rhus ovata,70748-1,Anacardiaceae,Rhus,ovata,,False,Rhus ovata
NC_049167.1,genomic DNA,156269,Acer pentaphyllum,56774-1,Sapindaceae,Acer,pentaphyllum,,False,Acer pentaphyllum
NC_049016.1,genomic DNA,63172,Corsia dispar,77094954-1,Corsiaceae,Corsia,dispar,,False,Corsia dispar
NC_026036.1,genomic DNA,165695,Bowenia serrulata,296944-1,Zamiaceae,Bowenia,serrulata,,False,Bowenia serrulata
NC_026037.1,genomic DNA,165734,Ceratozamia hildae,52609-2,Zamiaceae,Ceratozamia,hildae,,False,Ceratozamia hildae
NC_026040.1,genomic DNA,164953,Zamia furfuracea,270522-2,Zamiaceae,Zamia,furfuracea,,False,Zamia furfuracea
NC_026041.1,genomic DNA,163548,Stangeria eriopus,821923-1,Zamiaceae,Stangeria,eriopus,,False,Stangeria eriopus
NC_059761.1,genomic DNA,157934,Styrax tonkinensis,826959-1,Styracaceae,Styrax,tonkinensis,,False,Styrax tonkinensis
NC_059766.1,genomic DNA,158499,Coriaria napalensis,271362-1,Coriariaceae,Coriaria,napalensis,,False,Coriaria nepalensis
NC_059767.1,genomic DNA,158408,Malva verticillata,561971-1,Malvaceae,Malva,verticillata,,False,Malva verticillata
NC_059768.1,genomic DNA,151451,Taraxacum coreanum,253092-1,Asteraceae,Taraxacum,coreanum,,False,Taraxacum coreanum
NC_059769.1,genomic DNA,151173,Taraxacum erythrospermum,249536-2,Asteraceae,Taraxacum,erythrospermum,,False,Taraxacum erythrospermum
NC_026299.1,genomic DNA,152849,Acorus gramineus,84019-1,Acoraceae,Acorus,gramineus,,False,Acorus gramineus
NC_026300.1,genomic DNA,153596,Angiopteris palmiformis,17369610-1,Marattiaceae,Angiopteris,palmiformis,,False,Angiopteris angustifolia
NC_072297.1,genomic DNA,184765,Cyperus papyrus,330934-2,Cyperaceae,Cyperus,papyrus,,False,Cyperus papyrus
NC_072298.1,genomic DNA,151852,Xanthium strumarium,260893-1,Asteraceae,Xanthium,strumarium,,False,Xanthium strumarium
NC_072300.1,genomic DNA,163607,Zingiber densissimum,933692-1,Zingiberaceae,Zingiber,densissimum,,False,Zingiber densissimum
NC_072301.1,genomic DNA,163455,Zingiber ellipticum,991072-1,Zingiberaceae,Zingiber,ellipticum,,False,Zingiber ellipticum
NC_072302.1,genomic DNA,163394,Zingiber kawagoei,873051-1,Zingiberaceae,Zingiber,kawagoei,,False,Zingiber koshunense
NC_068227.1,genomic DNA,149759,Cyclamen persicum,700765-1,Primulaceae,Cyclamen,persicum,,False,Cyclamen persicum
NC_068229.1,genomic DNA,149759,Pseudostellaria japonica,156279-1,Caryophyllaceae,Pseudostellaria,japonica,,False,Pseudostellaria japonica
NC_068230.1,genomic DNA,134267,Adinobotrys atropurpureus,472609-1,Fabaceae,Adinobotrys,atropurpureus,,False,Adinobotrys atropurpureus
NC_068233.1,genomic DNA,161574,Engelhardia hainanensis,897675-1,Juglandaceae,Engelhardia,hainanensis,,False,Engelhardia hainanensis
NC_068234.1,genomic DNA,155268,Eryngium foetidum,841793-1,Apiaceae,Eryngium,foetidum,,True,Eryngium foetidum
NC_031299.1,genomic DNA,140371,Chasechloa egregia,395679-1,Poaceae,Chasechloa,egregia,,False,Chasechloa egregia
NC_032703.1,genomic DNA,157393,Hesperaloe parviflora,1213420-2,Asparagaceae,Hesperaloe,parviflora,,False,Hesperaloe parviflora
NC_032704.1,genomic DNA,157143,Hesperocallis undulata,536456-1,Asparagaceae,Hesperocallis,undulata,,False,Hesperocallis undulata
NC_032686.1,genomic DNA,160131,Glycosmis mauritiana,773774-1,Rutaceae,Glycosmis,mauritiana,,False,Glycosmis mauritiana
NC_033970.1,genomic DNA,158521,Symplocarpus renifolius,1011010-1,Araceae,Symplocarpus,renifolius,,False,Symplocarpus renifolius
NC_035807.1,genomic DNA,156603,Schizaea elegans,17220460-1,Schizaeaceae,Schizaea,elegans,,False,Schizaea elegans
NC_035808.1,genomic DNA,156392,Schizaea pectinata,17220610-1,Schizaeaceae,Schizaea,pectinata,,False,Schizaea pectinata
NC_039577.1,genomic DNA,159476,Clematis alternata,709471-1,Ranunculaceae,Clematis,alternata,,False,Clematis alternata
NC_039579.1,genomic DNA,159583,Clematis brevicaudata,2725723-4,Ranunculaceae,Clematis,brevicaudata,,True,Clematis brevicaudata
NC_039582.1,genomic DNA,119423,Abies religiosa,261625-1,Pinaceae,Abies,religiosa,,False,Abies religiosa
NC_039583.1,genomic DNA,122583,Larix occidentalis,262444-1,Pinaceae,Larix,occidentalis,,False,Larix occidentalis
NC_039584.1,genomic DNA,123488,Picea chihuahuana,195867-2,Pinaceae,Picea,chihuahuana,,False,Picea chihuahuana
NC_039585.1,genomic DNA,119971,Pinus pinea,263221-1,Pinaceae,Pinus,pinea,,False,Pinus pinea
NC_039586.1,genomic DNA,120396,Pinus teocote,263372-1,Pinaceae,Pinus,teocote,,False,Pinus teocote
NC_057461.1,genomic DNA,151229,Helianthus salicifolius,329258-2,Asteraceae,Helianthus,salicifolius,,False,Helianthus salicifolius
NC_057462.1,genomic DNA,151289,Helianthus microcephalus,329255-2,Asteraceae,Helianthus,microcephalus,,False,Helianthus microcephalus
NC_057463.1,genomic DNA,154923,Ostericum palustre,845581-1,Apiaceae,Ostericum,palustre,,False,Ostericum palustre
NC_057464.1,genomic DNA,153379,Pertya phylicoides,237244-1,Asteraceae,Pertya,phylicoides,,False,Pertya phylicoides
NC_059058.1,genomic DNA,160369,Eucalyptus woollsiana,593470-1,Myrtaceae,Eucalyptus,woollsiana,,False,Eucalyptus woollsiana
NC_059059.1,genomic DNA,160303,Eucalyptus polybractea,593262-1,Myrtaceae,Eucalyptus,polybractea,,False,Eucalyptus yarriambiack
NC_059061.1,genomic DNA,162048,Cycas hongheensis,993111-1,Cycadaceae,Cycas,hongheensis,,False,Cycas hongheensis
NC_059062.1,genomic DNA,151852,Atriplex gmelinii,163828-1,Amaranthaceae,Atriplex,gmelinii,,False,Atriplex gmelinii
NC_045519.1,genomic DNA,156416,Hosta capitata,536574-1,Asparagaceae,Hosta,capitata,,False,Hosta capitata
NC_047211.1,genomic DNA,155279,Rubus amabilis,735009-1,Rosaceae,Rubus,amabilis,,False,Rubus amabilis
NC_047213.1,genomic DNA,122196,Lathyrus formosus,77222325-1,Fabaceae,Lathyrus,formosus,,False,Vavilovia formosa
NC_047214.1,genomic DNA,163255,Salacia amplifolia,431155-1,Celastraceae,Salacia,amplifolia,,False,Salacia amplifolia
NC_047215.1,genomic DNA,158944,Stauntonia obovatifoliola,462130-1,Lardizabalaceae,Stauntonia,obovatifoliola,,False,Stauntonia obovatifoliola
NC_049027.1,genomic DNA,155297,Wurmbea burttii,543566-1,Colchicaceae,Wurmbea,burttii,,False,Wurmbea burttii
NC_049044.1,genomic DNA,156105,Dalbergia frutescens,75939-2,Fabaceae,Dalbergia,frutescens,,False,Dalbergia frutescens
NC_049130.1,genomic DNA,155816,Medinilla magnifica,570289-1,Melastomataceae,Medinilla,magnifica,,False,Medinilla magnifica
NC_049146.1,genomic DNA,162535,Calligonum jeminaicum,903778-1,Polygonaceae,Calligonum,jeminaicum,,False,Calligonum jeminaicum
NC_026690.1,genomic DNA,156346,Actinidia chinensis,828396-1,Actinidiaceae,Actinidia,chinensis,,False,Actinidia chinensis
NC_026691.1,genomic DNA,156741,Actinidia chinensis var. deliciosa,60458895-2,Actinidiaceae,Actinidia,chinensis,deliciosa,False,Actinidia deliciosa
NC_061215.1,genomic DNA,156538,Ardisia crenata,586890-1,Primulaceae,Ardisia,crenata,,False,Ardisia crenata
NC_061218.1,genomic DNA,156099,Bauhinia purpurea,481605-1,Fabaceae,Bauhinia,purpurea,,True,Bauhinia purpurea
NC_072304.1,genomic DNA,163527,Zingiber orbiculatum,933689-1,Zingiberaceae,Zingiber,orbiculatum,,False,Zingiber orbiculatum
NC_072305.1,genomic DNA,163135,Zingiber purpureum,798381-1,Zingiberaceae,Zingiber,purpureum,,False,Zingiber purpureum
NC_072306.1,genomic DNA,163640,Zingiber smilesianum,873073-1,Zingiberaceae,Zingiber,smilesianum,,False,Zingiber smilesianum
NC_072308.1,genomic DNA,163623,Zingiber yingjiangense,932015-1,Zingiberaceae,Zingiber,yingjiangense,,False,Zingiber yingjiangense
NC_072310.1,genomic DNA,163665,Zingiber cochleariforme,873040-1,Zingiberaceae,Zingiber,cochleariforme,,False,Zingiber cochleariforme
NC_072311.1,genomic DNA,163298,Zingiber flavomaculosum,932017-1,Zingiberaceae,Zingiber,flavomaculosum,,False,Zingiber flavomaculosum
NC_072312.1,genomic DNA,154307,Cardamine glechomifolia,280340-1,Brassicaceae,Cardamine,glechomifolia,,False,Cardamine glechomifolia
NC_072313.1,genomic DNA,157442,Agave durangensis,899102-1,Asparagaceae,Agave,durangensis,,False,Agave durangensis
NC_068242.1,genomic DNA,89883,Orobanche coerulescens,662192-1,Orobanchaceae,Orobanche,coerulescens,,False,Orobanche coerulescens
NC_068243.1,genomic DNA,97030,Phacellanthus tubiflorus,662813-1,Orobanchaceae,Phacellanthus,tubiflorus,,False,Phacellanthus tubiflorus
NC_033978.1,genomic DNA,160579,Betula nana,301322-2,Betulaceae,Betula,nana,,False,Betula nana
NC_033979.1,genomic DNA,160627,Ficus religiosa,853563-1,Moraceae,Ficus,religiosa,,True,Ficus religiosa
NC_033980.1,genomic DNA,137574,Molinia caerulea,98382-3,Poaceae,Molinia,caerulea,,False,Molinia caerulea
NC_064362.1,genomic DNA,152984,Heteroplexis microcephala,929207-1,Asteraceae,Heteroplexis,microcephala,,False,Heteroplexis microcephala
NC_039127.1,genomic DNA,159833,Corylus sieboldiana var. mandshurica,77189917-1,Betulaceae,Corylus,sieboldiana,mandshurica,False,Corylus mandshurica
NC_039128.1,genomic DNA,159894,Corylus ferox,295456-1,Betulaceae,Corylus,ferox,,False,Corylus ferox
NC_039130.1,genomic DNA,159280,Ostryopsis davidiana,295677-1,Betulaceae,Ostryopsis,davidiana,,False,Ostryopsis davidiana
NC_039133.1,genomic DNA,156921,Maianthemum dilatatum,149429-2,Asparagaceae,Maianthemum,dilatatum,,False,Maianthemum dilatatum
NC_039597.1,genomic DNA,159942,Eucalyptus pauciflora,593224-1,Myrtaceae,Eucalyptus,pauciflora,,False,Eucalyptus pauciflora
NC_039598.1,genomic DNA,155574,Solanum lichtensteinii,819825-1,Solanaceae,Solanum,lichtensteinii,,False,Solanum lichtensteinii
NC_039599.1,genomic DNA,155413,Solanum cerasiferum,818646-1,Solanaceae,Solanum,cerasiferum,,False,Solanum cerasiferum
NC_058567.1,genomic DNA,155688,Polygonatum tessellatum,540240-1,Asparagaceae,Polygonatum,tessellatum,,False,Polygonatum tessellatum
NC_058819.1,genomic DNA,153459,Paraboea peltifolia,987594-1,Gesneriaceae,Paraboea,peltifolia,,False,Paraboea peltifolia
NC_058748.1,genomic DNA,136869,Leymus duthiei,77098749-1,Poaceae,Leymus,duthiei,,False,Leymus duthiei
NC_047223.1,genomic DNA,127298,Calocedrus rupestris,77086050-1,Cupressaceae,Calocedrus,rupestris,,False,Calocedrus rupestris
NC_047226.1,genomic DNA,151655,Oxybasis glauca,77121014-1,Amaranthaceae,Oxybasis,glauca,,False,Oxybasis glauca
NC_047228.1,genomic DNA,136382,Alopecurus aequalis,387005-1,Poaceae,Alopecurus,aequalis,,False,Alopecurus aequalis
NC_026065.1,genomic DNA,147048,Phedimus kamtschaticus,986644-1,Crassulaceae,Phedimus,kamtschaticus,,False,Sedum takesimense
NC_059786.1,genomic DNA,154144,Callicarpa siongsaiensis,861486-1,Lamiaceae,Callicarpa,siongsaiensis,,False,Callicarpa siongsaiensis
NC_059787.1,genomic DNA,156224,Casearia glomerata,779567-1,Salicaceae,Casearia,glomerata,,False,Casearia glomerata
NC_059789.1,genomic DNA,157921,Styrax odoratissimus,826872-1,Styracaceae,Styrax,odoratissimus,,False,Styrax odoratissimus
NC_059790.1,genomic DNA,157913,Styrax japonicus,826818-1,Styracaceae,Styrax,japonicus,,False,Styrax duclouxii
NC_072315.1,genomic DNA,137849,Stipa krylovii,423455-1,Poaceae,Stipa,krylovii,,False,Stipa krylovii
NC_072316.1,genomic DNA,137852,Stipa kirghisorum,423443-1,Poaceae,Stipa,kirghisorum,,False,Stipa kirghisorum
NC_072317.1,genomic DNA,137831,Stipa sareptana,423728-1,Poaceae,Stipa,sareptana,,False,Stipa sareptana
NC_072318.1,genomic DNA,137120,Stipa subsessiliflora,423793-1,Poaceae,Stipa,subsessiliflora,,False,Stipa subsessiliflora
NC_072320.1,genomic DNA,137620,Stipa tianschanica,423818-1,Poaceae,Stipa,tianschanica,,False,Stipa tianschanica
NC_072321.1,genomic DNA,137214,Stipa roborowskyi,423710-1,Poaceae,Stipa,roborowskyi,,False,Stipa roborowskyi
NC_072322.1,genomic DNA,137379,Stipa aliena,423078-1,Poaceae,Stipa,aliena,,False,Stipa aliena
NC_072323.1,genomic DNA,137158,Stipa capillacea,423196-1,Poaceae,Stipa,capillacea,,False,Stipa capillacea
NC_072324.1,genomic DNA,137859,Stipa grandis,423367-1,Poaceae,Stipa,grandis,,False,Stipa grandis
NC_068253.1,genomic DNA,155556,Solanum raphanifolium,239592-2,Solanaceae,Solanum,raphanifolium,,False,Solanum raphanifolium
NC_030343.1,genomic DNA,156595,Acer miyabei subsp. miaotaiense,60470270-2,Sapindaceae,Acer,miyabei,miaotaiense,False,Acer miaotaiense
NC_035591.1,genomic DNA,152287,Lilium duchartrei,537555-1,Liliaceae,Lilium,duchartrei,,False,Lilium duchartrei
NC_037784.1,genomic DNA,168953,Heritiera angustata,823548-1,Malvaceae,Heritiera,angustata,,False,Heritiera angustata
NC_039600.1,genomic DNA,155574,Solanum linnaeanum,930040-1,Solanaceae,Solanum,linnaeanum,,False,Solanum linnaeanum
NC_039601.1,genomic DNA,155769,Solanum supinum,821173-1,Solanaceae,Solanum,supinum,,False,Solanum supinum
NC_039603.1,genomic DNA,155368,Solanum glabratum,819309-1,Solanaceae,Solanum,glabratum,,False,Solanum glabratum
NC_039604.1,genomic DNA,155748,Solanum violaceum,821485-1,Solanaceae,Solanum,violaceum,,True,Solanum violaceum
NC_039605.1,genomic DNA,155657,Solanum incanum,77193393-1,Solanaceae,Solanum,incanum,,True,Solanum incanum
NC_039607.1,genomic DNA,155716,Solanum dasyphyllum,818913-1,Solanaceae,Solanum,dasyphyllum,,False,Solanum dasyphyllum
NC_057481.1,genomic DNA,156514,Rhamnus heterophylla,718372-1,Rhamnaceae,Rhamnus,heterophylla,,False,Rhamnus heterophylla
NC_057486.1,genomic DNA,156504,Viola japonica,868410-1,Violaceae,Viola,japonica,,True,Viola japonica
NC_057488.1,genomic DNA,145373,Phalaenopsis wilsonii,650608-1,Orchidaceae,Phalaenopsis,wilsonii,,False,Phalaenopsis wilsonii
NC_058859.1,genomic DNA,116508,Cecarria obtusifolia,548071-1,Loranthaceae,Cecarria,obtusifolia,,False,Cecarria obtusifolia
NC_059027.1,genomic DNA,158873,Prunus hypoleuca,77108488-1,Rosaceae,Prunus,hypoleuca,,False,Prunus hypoleuca
NC_059010.1,genomic DNA,150159,Beta corolliflora,77333744-1,Amaranthaceae,Beta,corolliflora,,False,Beta corolliflora
NC_058924.1,genomic DNA,157074,Camellia sinensis var. pubilimba,916173-1,Theaceae,Camellia,sinensis,pubilimba,False,Camellia parvisepala
NC_058581.1,genomic DNA,156926,Citrullus naudinianus,291939-1,Cucurbitaceae,Citrullus,naudinianus,,False,Citrullus naudinianus
NC_058714.1,genomic DNA,152648,Machilus chienkweiensis,466150-1,Lauraceae,Machilus,chienkweiensis,,False,Persea chienkweiensis
NC_047229.1,genomic DNA,136408,Alopecurus japonicus,387115-1,Poaceae,Alopecurus,japonicus,,False,Alopecurus japonicus
NC_047230.1,genomic DNA,160601,Castanopsis fargesii,295392-1,Fagaceae,Castanopsis,fargesii,,False,Castanopsis fargesii
NC_047232.1,genomic DNA,163335,Epipremnum amplissimum,87011-1,Araceae,Epipremnum,amplissimum,,False,Epipremnum amplissimum
NC_047234.1,genomic DNA,163643,Monstera adansonii,87464-1,Araceae,Monstera,adansonii,,False,Monstera adansonii
NC_047235.1,genomic DNA,163822,Stenospermation multiovulatum,244999-2,Araceae,Stenospermation,multiovulatum,,False,Stenospermation multiovulatum
NC_047236.1,genomic DNA,159485,Morus celtidifolia,854634-1,Moraceae,Morus,celtidifolia,,False,Morus celtidifolia
NC_059798.1,genomic DNA,161123,Hevea pauciflora,349941-1,Euphorbiaceae,Hevea,pauciflora,,False,Hevea pauciflora
NC_059799.1,genomic DNA,161093,Hevea spruceana,349947-1,Euphorbiaceae,Hevea,spruceana,,False,Hevea spruceana
NC_059800.1,genomic DNA,163377,Reynoutria japonica,435655-1,Polygonaceae,Reynoutria,japonica,,False,Reynoutria japonica
NC_068257.1,genomic DNA,156140,Salix babylonica f. babylonica,77231575-1,Salicaceae,Salix,babylonica,babylonica,False,Salix matsudana
NC_068262.1,genomic DNA,156633,Phytolacca latbenia,676367-1,Phytolaccaceae,Phytolacca,latbenia,,False,Phytolacca latbenia
NC_068263.1,genomic DNA,156628,Phytolacca polyandra,676388-1,Phytolaccaceae,Phytolacca,polyandra,,False,Phytolacca polyandra
NC_068264.1,genomic DNA,156591,Phytolacca japonica,676364-1,Phytolaccaceae,Phytolacca,japonica,,False,Phytolacca japonica
NC_030056.1,genomic DNA,156841,Iochroma arborescens,77186334-1,Solanaceae,Iochroma,arborescens,,False,Acnistus arborescens
NC_030061.1,genomic DNA,160533,Gymnospermium microrrhynchum,107333-1,Berberidaceae,Gymnospermium,microrrhynchum,,False,Gymnospermium microrrhynchum
NC_030062.1,genomic DNA,166636,Berberis amurensis,106405-1,Berberidaceae,Berberis,amurensis,,False,Berberis amurensis
NC_030371.1,genomic DNA,163368,Spathiphyllum lanceifolium,88983-1,Araceae,Spathiphyllum,lanceifolium,,False,Spathiphyllum kochii
NC_030377.1,genomic DNA,140608,Zea diploperennis,306962-2,Poaceae,Zea,diploperennis,,False,Zea diploperennis
NC_034791.1,genomic DNA,134864,Eriachne armitii,401797-1,Poaceae,Eriachne,armitii,,False,Eriachne armittii
NC_034792.1,genomic DNA,157238,Adoxa moschatellina,148240-1,Viburnaceae,Adoxa,moschatellina,,False,Adoxa moschatellina
NC_034793.1,genomic DNA,157502,Adoxa omeiensis,896844-1,Viburnaceae,Adoxa,omeiensis,,False,Tetradoxa omeiensis
NC_053550.1,genomic DNA,157396,Rosa minutifolia,222367-2,Rosaceae,Rosa,minutifolia,,False,Rosa minutifolia
NC_057494.1,genomic DNA,157885,Ottelia alismoides,1080475-2,Hydrocharitaceae,Ottelia,alismoides,,False,Ottelia alismoides
NC_057495.1,genomic DNA,164047,Semiaquilegia guangxiensis,77160163-1,Ranunculaceae,Semiaquilegia,guangxiensis,,False,Semiaquilegia guangxiensis
NC_057496.1,genomic DNA,154385,Ophiorrhiza pumila,77243998-1,Rubiaceae,Ophiorrhiza,pumila,,True,Ophiorrhiza pumila
NC_042917.1,genomic DNA,163543,Amphilophium ecuadorense,11580-2,Bignoniaceae,Amphilophium,ecuadorense,,False,Amphilophium ecuadorense
NC_042918.1,genomic DNA,163710,Amphilophium paniculatum,108202-1,Bignoniaceae,Amphilophium,paniculatum,,False,Amphilophium paniculatum
NC_042920.1,genomic DNA,168172,Anemopaegma prostratum,108291-1,Bignoniaceae,Anemopaegma,prostratum,,False,Anemopaegma prostratum
NC_042923.1,genomic DNA,155330,Heuchera richardsonii,791398-1,Saxifragaceae,Heuchera,richardsonii,,False,Heuchera richardsonii
NC_042924.1,genomic DNA,155361,Heuchera villosa,30062001-2,Saxifragaceae,Heuchera,villosa,,False,Heuchera villosa
NC_042926.1,genomic DNA,154407,Asimitellaria formosana,77217833-1,Saxifragaceae,Asimitellaria,formosana,,False,Mitella formosana
NC_042927.1,genomic DNA,155368,Tiarella cordifolia,30175905-2,Saxifragaceae,Tiarella,cordifolia,,False,Tiarella cordifolia
NC_059048.1,genomic DNA,160482,Eucalyptus  silvestris,977840-1,Myrtaceae,Eucalyptus,silvestris,,False,Eucalyptus hawkeri
NC_058839.1,genomic DNA,122127,Taxillus theifer,913404-1,Loranthaceae,Taxillus,theifer,,False,Taxillus theifer
NC_058862.1,genomic DNA,122419,Loranthus guizhouensis,902483-1,Loranthaceae,Loranthus,guizhouensis,,False,Loranthus guizhouensis
NC_058718.1,genomic DNA,152618,Machilus lichuanensis,466202-1,Lauraceae,Machilus,lichuanensis,,False,Machilus lichuanensis
NC_045405.1,genomic DNA,154310,Lippia origanoides,863752-1,Verbenaceae,Lippia,origanoides,,False,Lippia origanoides
NC_045420.1,genomic DNA,159930,Osteomeles schweriniae,726918-1,Rosaceae,Osteomeles,schweriniae,,False,Osteomeles schwerinae
NC_045421.1,genomic DNA,159668,Phippsiomeles matudae,77234399-1,Rosaceae,Phippsiomeles,matudae,,False,Phippsiomeles matudae
NC_045422.1,genomic DNA,160937,Phippsiomeles mexicana,77234398-1,Rosaceae,Phippsiomeles,mexicana,,False,Phippsiomeles mexicana
NC_059802.1,genomic DNA,154042,Sisymbrium altissimum,289144-1,Brassicaceae,Sisymbrium,altissimum,,True,Sisymbrium altissimum
NC_059803.1,genomic DNA,160702,Citrus  aurantium f. deliciosa,890757-1,Rutaceae,Citrus,aurantium,deliciosa,False,Citrus clementina
NC_059807.1,genomic DNA,153641,Mutarda carinata,77313886-1,Brassicaceae,Mutarda,carinata,,False,Brassica carinata
NC_068265.1,genomic DNA,155789,Phytolacca thyrsiflora,30307474-2,Phytolaccaceae,Phytolacca,thyrsiflora,,False,Phytolacca thyrsiflora
NC_068266.1,genomic DNA,155605,Phytolacca icosandra,323292-2,Phytolaccaceae,Phytolacca,icosandra,,False,Phytolacca icosandra
NC_068267.1,genomic DNA,155576,Phytolacca rivinoides,676397-1,Phytolaccaceae,Phytolacca,rivinoides,,False,Phytolacca rivinoides
NC_068269.1,genomic DNA,125698,Medicago sativa,30234961-2,Fabaceae,Medicago,sativa,,False,Medicago sativa
NC_030063.1,genomic DNA,166758,Berberis koreana,106819-1,Berberidaceae,Berberis,koreana,,False,Berberis koreana
NC_030065.1,genomic DNA,157924,Gloriosa superba,535953-1,Colchicaceae,Gloriosa,superba,,False,Gloriosa superba
NC_030067.1,genomic DNA,138946,Urochloa brizantha,943736-1,Poaceae,Urochloa,brizantha,,False,Urochloa brizantha
NC_030068.1,genomic DNA,138765,Urochloa eminii,974586-1,Poaceae,Urochloa,eminii,,False,Urochloa ruziziensis
NC_031805.1,genomic DNA,152926,Castilleja paramensis,77155417-1,Orobanchaceae,Castilleja,paramensis,,False,Castilleja paramensis
NC_033862.1,genomic DNA,148617,Streptochaeta spicata,423965-1,Poaceae,Streptochaeta,spicata,,False,Streptochaeta spicata
NC_033863.1,genomic DNA,141810,Leptaspis banksii,407035-1,Poaceae,Leptaspis,banksii,,False,Leptaspis banksii
NC_053562.1,genomic DNA,152658,Crotalaria pallida,322608-2,Fabaceae,Crotalaria,pallida,,True,Crotalaria pallida
NC_053563.1,genomic DNA,122764,Scurrula chingii,913332-1,Loranthaceae,Scurrula,chingii,,False,Scurrula chingii
NC_053564.1,genomic DNA,152280,Lilium amoenum,537452-1,Liliaceae,Lilium,amoenum,,False,Lilium amoenum
NC_057503.1,genomic DNA,127187,Chamaecyparis pisifera,261847-1,Cupressaceae,Chamaecyparis,pisifera,,False,Chamaecyparis pisifera
NC_057504.1,genomic DNA,159110,Rumex nepalensis,697338-1,Polygonaceae,Rumex,nepalensis,,False,Rumex nepalensis
NC_057506.1,genomic DNA,160642,Rhamnus globosa,718350-1,Rhamnaceae,Rhamnus,globosa,,True,Rhamnus globosa
NC_057508.1,genomic DNA,150954,Dracocephalum tanguticum,446534-1,Lamiaceae,Dracocephalum,tanguticum,,False,Dracocephalum tanguticum
NC_042928.1,genomic DNA,154902,Tiarella polyphylla,794898-1,Saxifragaceae,Tiarella,polyphylla,,False,Tiarella polyphylla
NC_042929.1,genomic DNA,155390,Tiarella trifoliata,794902-1,Saxifragaceae,Tiarella,trifoliata,,False,Tiarella trifoliata
NC_042931.1,genomic DNA,155942,Amphilophium lactiflorum,77100448-1,Bignoniaceae,Amphilophium,lactiflorum,,False,Amphilophium lactiflorum
NC_058901.1,genomic DNA,160066,Magnolia lacei,20011702-1,Magnoliaceae,Magnolia,lacei,,False,Magnolia lacei
NC_058550.1,genomic DNA,160043,Magnolia figlarii,77074651-1,Magnoliaceae,Magnolia,figlarii,,False,Magnolia figlarii
NC_058997.1,genomic DNA,160070,Magnolia rostrata,554827-1,Magnoliaceae,Magnolia,rostrata,,False,Magnolia rostrata
NC_058941.1,genomic DNA,167586,Musa maclayi,584962-1,Musaceae,Musa,maclayi,,False,Musa maclayi
